Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,CA$75k-CA$102k (Glassdoor Est.),"MS + 8 yrs experience or BS + 10 yrs experience in predictive modeling, data science, machine learning, or user and entity behavior analytic development.
At least 4 years focused on applications of Data Science/Analytics
A minimum of two years’ experience in applying Data Science/ Analytics to security related problems.
A minimum of 4 years’ experience introducing automation and operating within a fast paced prototyping environment.
Excited by using massive amounts of data to create sophisticated security analytics? Does pushing the envelope with user and entity behavior analytics (UEBA) including developing statistical, stochastic and machine learning models for security excite you? Want to help the largest global enterprises operate safely & securely in the cloud at an unprecedented scale?

You will enhance real-time proactive and preemptive systems using data driven techniques. The analytic techniques are applied at each stage from detection to response mitigation. This job will challenge you to dive deep and understand the unique challenges in operating this platform at a scale unrivaled in the industry. Our scale provides unique opportunities that simply don’t exist elsewhere, but these opportunities can only be revealed by a scientific thinker with a curious mind, who is committed to improving every single day.

This is an opportunity to operate in a truly groundbreaking manner given the sheer scale, breadth, and fast pace of the AWS environment. Data scientists are collaborative and highly determined, working backward from threats to create new and innovative ways to detect, assess and react to malicious activity.

Your job is distilling meaningful insights from large volumes of data to address the constantly evolving threat and attack space from sophisticated adversaries. This role will give you an opportunity to use and grow a broad range of skills in data science, analytic development, and information security – all using and creating cloud services in large scale computing environments. Considering the scale and the magnitude of the technical challenge, this role is a great opportunity to make a meaningful contribution to an extremely important area. Operating in the cloud at our scale enables activities that have never before been possible, providing new advantages and opportunities for innovative work.

We are hiring technical specialists at the convergence of the four hottest areas in tech: Data Science, Security, Software Development and Cloud Services. Worried that you do not have hands-on experience in all four areas? We are looking for solid base and expertise in two areas - you will grow expertise in the remaining areas to round out your background in all four key areas. Alongside your team, you will work directly with the biggest internal and external Amazon customers – leveraging data and analytics to create innovative ways to work securely in the cloud.
An M.S. or Ph.D. in Mathematics, Computer Science, Electrical and Computer Engineering, or equivalent degree.
A post graduate degree in a scientific field is preferred but successful development and deployment of security analytics count. The right candidate has a background in probability and statistics, applied mathematics, or computational science and a history of solving difficult problems using a scientific approach.
Experience with analytic development for endpoint and network security
Experience with one or more cloud services
Analytic development - streaming and a Hadoop ecosystem (Hive, Spark, etc.)
Analytic development - SQL, NoSQL, graph-based, Key/Value stores, document stores, Python and/or R
Experience applying machine learning to real-world production systems, analytic development based on SparkML and other ML libraries such as scikit-learn, caret, mlr, MLlib
Excellent written and oral communication skills, strong sense of ownership, urgency, and drive
Meets/exceeds Amazon’s leadership principles requirements for this role
Meets/exceeds Amazon’s functional/technical depth and complexity for this role",-1,"AMZN CAN Fulfillment Svcs, ULC",Ottawa,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,CA$75k-CA$102k (Glassdoor Est.),"At Loblaw Digital, we know that our customers expect the best from us. Whether that means building the best, most innovative online shopping experience, or designing an app that will impact the lives of people across the country, we’re up for the challenge. From our office in Downtown Toronto, we’ve created leading eCommerce experiences in the online grocery shopping, beauty, pharmacy, and apparel spaces, and we’re only just getting started.

The impact you’ll make
As a Data Scientist, you will impact our business by pioneering a new capability at Loblaw Digital that will power best in class recommendation / personalization to significantly improve the customer experience. You will also build innovative data solutions for functional businesses (trading, operations, supply chain etc.) to improve efficiency and provide business value.
You’ll help us improve our cost-efficiency, reach, and understanding of our customers by adding ML modeling and predictive analytics to the toolset. We’re looking to turn our enviable wealth of data into actionable insights and meaningful recommendations that drive growth and improved engagement across all of our lines of business.
What You'll do
Build robust, scalable, high performance Prediction, Search, Personalization and Recommendation ML solutions based on massive structured and unstructured data from various sources
Work with Engineering and Data Platform teams to bring ML models all the way to production
Work cross-functionally with business teams: Product, Trading, Marketing, Supply Chain, Web Analytics etc. to gather data and requirement and define success
Does this sound like you?
MS or PhD in math, engineering, computer science, or a related technical field, or equivalent practical experience
2 years’ work experience in Machine Learning or Artificial Intelligence
Creative problem solver, resourceful in getting things done, and productive working independently or collaboratively
You love to build ML solutions for fluid, open-ended problems but is also an excellent software engineer
Strong knowledge in Data Mining and Machine Learning
Comfortable with both basic and more advanced SQL querying
Proficient in at least 1 compiled language (Java/C/Scala etc.), and at least 1 other programming language (preferably python, but can be any language used in modern data science or software development)
Some experience with BigData tools such as Spark, Hadoop, Kafka preferred
Experience with dataviz tools such as Tableau, Looker, etc. a bonus
How you’ll succeed
At Loblaw Digital, we seek great people to continually strengthen our culture. We believe great people model our values, are authentic, build trust and make connections. We’re able to keep innovating because our colleagues are passionate about their work and excited about the future of eCommerce. You will get to work with some of the best digital minds and will have the support of world class technologies to craft products our customers will love!

Loblaw Digital recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired.
In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us.",3.5,"Loblaw Digital
3.5",Toronto,"Toronto, Canada",51 to 200 employees,-1,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,CA$75k-CA$102k (Glassdoor Est.),"The Opportunity

Do you enjoy solving complex problems? Are you a systems thinker who’d rather debate the concept than argue the example? Do you prize logic, feel accountable and hold others to a high standard?

If your answer to these questions is “yes”, then we want to hear from you! Every day, SkyHive's startup environment will present new challenges, opportunities to grow, and a place to build something truly unique.

We are looking for a talented machine learning / data scientist who can dive into high volumes of quantitative data, raw telemetry, and survey data. The ideal candidate will have a strong foundation in data science and will be willing to take initiative in pioneering new methods of modeling and analytics.

The Role
Perform research in NLP/Deep Learning and build machine learning models to improve content understanding, content ranking & recommendations.
Prototype machine learning algorithms and assess how to apply them to solve business problems.
Analyze data sources and perform data collection/annotation.
Maintain and improve the performance and effectiveness of existing Natural Language Processing (NLP) algorithms.
Work with the team to build data pipeline/infrastructure to deliver machine learning algorithms into production
Who are you?

Qualifications (Must haves)
Minimum 2 years of Python experience
Knowledge of and experience working with machine learning tools such as Tensorflow, PyTorch,Keras, spacy…
Minimum 2 years of Natural Language Processing experience
Familiar with Deep Learning concepts and how to do NLP using Deep Learning
Have good developer skills supported by real-life experience
Self-starter instincts
Nice-to-haves
Be a Kaggler
Have open source projects
Know who Dirichlet, Markov, Spearman and LeCun are
Familiarity with recent development in the field of Deep Learning/NLP
What we look for in all of our candidates:
A strong work ethic and demonstrated commitment to delivering on-time to clients.
Accountability – a demonstrated “no-nonsense” attitude to delivering excellence to customers.
Detail-oriented – the ability to think critically about challenges and design efficient and effective solutions.
Integrity – keeping your commitments to the team, customers, and SkyHive stakeholders.
Compensation: $77,000-$102,000 (commensurate with experience)

Who are we?

SkyHive Technologies is a Vancouver-based artificial intelligence company that invented and commercialized a methodology called quantum labour analysis, which is the application of artificial intelligence to analyze a workforce or labour market at its most granular level. Its core technology applies natural language processing to process millions of supply, demand and training data points to determine real-time job-level labour market activity. It then uses proprietary machine learning methods to extract technical skills, soft skills, capabilities, methodologies, tools, and technologies from all job data. Data is then fed into a proprietary neural network that serves as the world’s first and only real-time, “live-streamed” job taxonomy and skills ontology, capturing labour market movements in real-time and at their most granular level.

Recognized as a top startup by Forbes, Startup Grind, and C100, SkyHive is an award-winning AI technology that deepens our understanding of labour markets, workforces and individuals, enabling new ways of acquiring, developing and engaging talent.

Established in 2017 with the mission of tackling global poverty and social inequality, SkyHive aims to utilize its exponential technology to stimulate economic empowerment and lifelong learning; ultimately fostering a stronger, more prepared, and more confident workforce to welcome a brighter tomorrow.

What do we offer?
Opportunity to get your foot in the door of a fast-growing tech company
Collaborative team environment
Comprehensive health benefits package (nothing comes off your cheque)
Three weeks’ paid vacation to start, paid holidays and birthday leave!
Stock options & gainsharing plan
Social Impact Organization with Certified B-Corp Status
Paid & unpaid volunteer time off
Charitable donation-matching program to support your favorite charity.
Opportunity to explore other departments as training and career continues.
Professional development assistance program
Beautiful office in A1 location (Views, view, views)
Numerous employee appreciation events throughout the year",4.9,"SkyHive Technologies
4.9",Vancouver,"Vancouver, Canada",1 to 50 employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,CA$75k-CA$102k (Glassdoor Est.),"*Note: Due to immediate needs of the position, only candidates in the legal capacity to work in Canada will be considered.

**Note: Please be sure to research our company via Google search and understand our business prior to applying for this role.

MindGeek is the largest, privately held company in our industry developing unparalleled technologies for high traffic, high volume online properties.

Billions of data points are recorded daily from our products and, with this data, the Data Science team is responsible for improving business operations and user experiences. Current Data Science projects include: content recommendation engines, ad bidding systems, credit card fraud detection, and computer vision tasks. We seek a Data Scientist to help enhance our current projects and work on fascinating new projects. The ideal candidate should be experienced and interested in owning data-driven projects from the first stages of research to the later stages of development and deployment.

Requirements:
MSc. or PhD. in a quantitative STEM field
Strong knowledge of data science algorithms and their limitations; there's more to life than Deep Learning
Research-oriented mindset and a strong passion to tackle difficult problems
Strong programming skills in Python (numpy, scipy, pandas, scikit-learn, pytorch / tensorflow / fastai, ...); R, Java, C/C++ or similar high-level languages a bonus
Ability to communicate clearly to non-experts
Responsibilities

Research:
Discover solutions to unique data science challenges while satisfying business needs
Develop and Implement:
Loading and cleaning the data
Preparing and training the model
Deploying, monitoring and maintaining the solution
Build the full solution
Additional Qualifications:
Familiarity with database environments (including distributed big data solutions) and functional SQL knowledge
Experience with UNIX/Linux environments
Experience and ability to work with big data problems
Experience with cloud providers (AWS, GCE, Azure)
Experience applying research methods to real-world business problems
Data science side projects or Kaggle competitions
What we offer:
Leadership development program, on-demand online learning, Educational Assistance Program, Lunch&Learns.
Daily breakfast
Flex time and summer hour schedule
A 500$ fitness allowance
Social Events throughout the year including summer BBQ, Halloween costume party, Holiday party and 5 a 7 cocktails and bites.
Opportunity to give back to the community through our Ronald Macdonald House visits and supporting the MindGeek Scholarship Fund for Dans la Rue
A chance to work with a first-class team !
Our exceptional team consist of experts in every functional area of business and they are the key to our position as leaders in content delivery. We strive to innovate on a daily basis to ensure we continue to grow and create new revenue opportunities and cutting edge technology. If you are passionate about taking your career to the next level, then join the MindGeek team and be a part of something big.

We thank all applicants for their interest, however only candidates under consideration will be contacted. No telephone calls please. No agency calls or emails.",3.5,"MindGeek Careers
3.5",Montreal,"Luxembourg, Luxembourg",1001 to 5000 employees,2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"Who We Are

Lightspark is an innovative clean-tech company, bringing innovative technology solutions to consumers, trade, utilities and government to help make a more sustainable future. We are building a dynamic enterprise software-as-a-service platform and are looking for people with a passion, curiosity and purpose for using their skills and creativity to make the world a better place.

Who You Are

You have a passion for putting your analytical data skills towards solving complex problems with a focus on geo-spatial techniques, working well with teams, and fighting hard to meet deadlines and build break-out products.Job Description

We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, understanding GIS and geo-spatial mapping and building high quality prediction systems integrated with our products. Specifically, you will automate our building energy scoring using machine learning techniques, build recommendation systems, and further develop our catalog of products for energy efficiency and renewables building improvements.
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining and statistical analysis using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Skills and Qualifications
Excellent understanding of machine learning techniques and algorithms
Experience with common data science toolkits, such as Python, Weka, NumPy, MatLab, R, etc. Excellence in at least one of these is highly desirable
Great communication skills and ability to present information to management team in a way that explains concepts and thinking
Experience with SaaS software development
Experience with data visualization tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with PostgresSQL, spatial objects and experience with Redis, Amazon Web Services is required
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills a bonus, including Javascript, Ruby on Rails and PHP
Data-oriented personality
About Lightspark
Lightspark Software Inc is a purpose driven SaaS company who has a mission to build a sustainable future by accelerating the engagement and success of energy efficiency and renewable technologies.

We do this by using big data, machine learning and advanced design thinking and user interfaces, to increase building owner conversions to deep energy retrofits and solve the friction points for multiple use cases, including utilities, cities, municipalities, trade and manufacturers.

http://www.lightspark.energy
Contract length: 6-18 months

Job Type: Contract

Experience:
data science: 4 years (Preferred)
Education:
Bachelor's Degree (Required)
Location:
Vancouver, BC (Required)
Work remotely:
Temporarily due to COVID-19",-1,Lightspark Software,Vancouver,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"Friday, April 24, 2020

At Equitable Life of Canada, we realize that your work life is not just about performing a job; it's about being part of a workplace that helps you grow and reach your full potential. Within our friendly and collaborative work environment, we recognize that the key to our growth and success is a dedicated, motivated and customer-responsive staff. Join Equitable Life today.

Department: IT

Reports To: AVP, Data and Analytics

The Opportunity:

Equitable Life is seeking a talented data professional to add to our Data and Analytics team, playing a pivotal role in delivering machine learning-based solutions, models and algorithms to improve business processes, in support of Equitable Life’s strategic goals. The successful candidate will primarily be responsible for delivering finalized algorithms and will influence data aggregation and implementation. This is an excellent opportunity to be part of a growing data strategy team within one of Waterloo Region’s Top Employers for the 13th year running!

What you’ll do:
Perform analysis with business units to support ongoing decision-making and to identify quantifiable project value
Perform requirement analysis with the business units to understand business issues and generate hypotheses
Deliver and support models throughout the data lifecycle: build, test, deploy and improve
Communicate results of analytics outcomes with business partners effectively
Implement measurement and documentation framework against all project work
Provide thought leadership related to analytics methodology, tools and measurement
Innovate and find creative ways to source data to support modelling efforts
What You’ll Need:
A master’s degree or PhD in computer science, data science, operations research, statistics, applied mathematics, or related quantitative field
Minimum 5 (five) years of experience specifically in statistical analysis, predictive modelling, machine learning, and/or artificial intelligence
Proficiency in Python or R
Working knowledge of SQL, Java, VBA
Expert knowledge of BI development
Excellent communication skills with non-data focused business partners
Financial Services experience is an asset
Experience working in Microsoft Azure and Amazon AWS is an asset
Self-driven, curious and creative in developing hypotheses

To learn more about Equitable Life, we encourage you to explore our organization.

At Equitable Life, we are committed to providing equal access to employment opportunities across our organization. Please contact our HR team at careers@equitable.ca if you would like to receive our job postings in an alternative format or require an accommodation with the application process.

Other details
Pay Type
Salary",3.5,"Equitable Life Insurance Company of Canada
3.5",Waterloo,"KITCHENER, Canada",201 to 500 employees,1920,Company - Private,Insurance Operators,Insurance,$500 million to $1 billion (CAD),-1
Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"Toronto, ON, Canada
30 hours per week
On-site only, relocation possible

WHAT IS TRU LUV AND WHAT DO WE CARE ABOUT?
TRU LUV is changing the way we relate with technology. We’re building a new interaction model on the belief that love feels better than winning. We work with artists, psychologists and game designers to bring life to AI companions. These friends in your phone join you on playful journeys of deepening comfort and insight to help you relax and grow more resilient. Our first companion, #SelfCare, was one of Apple's Best of 2018. We care about celebration, curiosity, love, intention, care and protopian futures. <3>

We are a small team in Toronto with team members in Montreal, Berlin, and Glasgow.

WHAT DOES A DATA SCIENTIST DO AT TRU LUV?
If you join us at TRU LUV, we’ll work together to bring life and depth to our companions, including #SelfCare and our secret projects. You will use your data science expertise to help us create the most nourishing and heartwarming experiences possible for our audience. You would join a small team in Toronto and collaborate with team members in Montreal, Berlin, and Austin. You would work with our programmers, designers, and project manager to support our vision for companions.

YOUR WORK DAY MIGHT LOOK LIKE:
Working with our lead designer and the rest of our design team to establish and refine our shared vision
Making decisions about data architecture and data governance with support from our lead programmer
Working with our executive team to choose and track ethical KPIs drawing on data from our lab and from our audience
Designing and analyzing experiments in conjunction with designers and psychologists to inform design decisions
Discovering actionable insights about the way our companions help people both in our lab and among our audience
Evaluating and designing tools and platforms for data workflow
Establishing and documenting best practices
Mentoring less experienced team members
Reporting to our project manager what has gone well, what has been surprising, and what you’ve learned
YOU MAY HAVE:
3+ years experience with tools development and experiment design, implementation, and analysis
Understanding of common data science techniques
An interest in using quantitative analysis as a support for qualitative analysis in an ethical framework
A degree in a quantitative discipline such as mathematics, statistics, computer science or equivalent
YOU ALREADY KNOW OR WOULD BE COMFORTABLE WORKING WITH US TO LEARN:
Telemetry collection for Unity and C#
Python, Spark, AWS cloud infrastructure, game data analytics
A knowledge of self-care practices including those inspired by contemporary witchcraft
Tend-and-befriend and other psychological frameworks for companion design
TO COMPLEMENT OUR EXISTING TEAM, YOU ARE:
Curious, self-motivated, and can help mentor a distributed team under minimal supervision
Interested in seeking out new techniques and ideas related to tend-and-befriend, psychological development, and pro-social interactions in the games and app industries
A proactive, caring and compassionate communicator
Solution-oriented, flexible, and comfortable making mistakes, asking questions, giving feedback, and helping others as needed
Enthusiastic about creating and maintaining a mutually-supportive environment that values diversity
Comfortable in a startup where plans and priorities can change quickly
Our team is built on a foundation of diversity and inclusion.
TRU LUV is an equal opportunity employer that values diversity and inclusion as the underlying foundation of our success. We welcome and encourage people of all backgrounds to apply.

DO I NEED TO MEET ALL CRITERIA TO APPLY?

Definitely not! If you share our goal of more nourishing technology and our values of celebration, curiosity, love, intention and care we’d love to meet you and see what is possible!

Job Types: Full-time, Permanent

Experience:
Data Science: 3 years (Required)
Work remotely:
Temporarily due to COVID-19",-1,TRU LUV,Toronto,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"Our telecom client is looking for junior and intermediate level Data Scientists to utilize their analytical, statistical, and programming skills to analyze and interpret large data sets.

Job Duties:
Work with stakeholders throughout organization to identify opportunities for leveraging data to drive business solutions
Interfaces and processes using various ETL and SQL tools and technologies
Troubleshoot and performance tune the data ingress and egress process and build internal controls and checks to maintain data quality
Analyze data from company databases to drive optimization
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Coordinate with different functional teams to implement models and monitor outcomes
Develop custom data models and algorithms to apply data sets
Develop processes and tools to monitor and analyze model performance and data accuracy
Qualifications:
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets
SAS experience an asset
Knowledge of advanced statistical techniques and concepts
A drive to learn and master new technologies and techniques
3-5 years of experience in manipulating data sets and building statistical models
Strong work ethic, hands on style
Excellent written and verbal communication skills for coordinating across teams
Committed team player
Strong working knowledge of MS Excel and the use of pivot tables
Degree or Masters in Statistics, Mathematics, or Computer Science an asset
Telecom experience is a strong asset
IT experience in Telecom environment is a strong asset
Moerae Solutions Incorporated values diversity and is an equal opportunity employer. We are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. MSi welcomes and encourages people with disabilities and is committed to ensuring equal access and participation for people with disabilities. We are committed to treating people with disabilities in a way that maintains dignity and independence. Accommodations are available upon request for candidates taking part in all aspects of the recruitment/selection process as a result of disability.

Job Types: Full-time, Contract

Experience:
Data Science: 1 year (Preferred)
Location:
Toronto, ON (Preferred)",-1,MSi Corp (Bell Canada),Toronto,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"RESPONSIBILITIES:
Develop state-of-the-art computer vision algorithms for object detection, classification, and face recognition.
Prototype hardware and software solutions for object detection, classification, and face recognition.
Develop and implement scalable and efficient modeling algorithms that can work with large-scale data in production systems.
Collaborate with product management and engineering groups to develop new products and features.

SKILLS AND QUALIFICATIONS:
PhD or MS degree in Computer Science, Electrical Engineering, Statistics, Applied Math, or other related fields.
Expertise in deep learning, deep neural networks, convolutional neural networks, Artificial Intelligence and/or related techniques.
Proficient in one or more programming languages such as Python and Java.
Familiarity with one or more neural network frameworks such as TensorFlow, Caffe or MXNet.
Strong analytical and quantitative problem solving ability.
Excellent communication, relationship skills and a strong team player.
Preferred Qualifications
Experience with big data techniques (Hadoop, MapReduce, Spark).
Experience with relational (SQL) and NoSQl Databases.

compensation:
TBD

How to apply:
Please send your resume to hr@awakedata.com",-1,Awakedata,Canada,"Burnaby, Canada",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Sr.Analyst / Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
The decision to join a company is a big one. We have opportunities for hard working, energetic and reliable people just like you.
Why is this role important?
Reporting to the Manager of Advanced Analytics (Replenishment Optimization), the Senior Supply Chain Analyst will develop machine learning models using diverse datasets (structured and unstructured) to augment the decision making of supply chain colleagues, help automate replenishment processes, and optimize the flow of inventory to stores and DCs.
Accountabilities:
-Apply Artificial Intelligence (AI)/ Machine Learning (ML)/ Deep Learning (DL) on large volume and variety of data to drive process improvement and automation in Supply Chain Replenishment
-Work with business stakeholders and IT teams to identify areas of business that would benefit from ML solutions
-Assess the available data by performing data exploration and visualizations
-Implement data pipeline to ingest, clean, format and aggregate data; overcome challenges related to missing or corrupted data
-Design scalable and deployable AI/ML/DL solutions; Partition data into training, validation and test sets, train and assess ML models, adjust hyperparameters etc.
-Track model performance over time and identify techniques to improve model performance
-Communicate ML theory, model design, results and its impacts to a variety of stakeholders
-Research new breakthroughs and industry applications of AI
-Additionally, act at as the organization’s data champion by identifying opportunities for novel data collection and approaches to improve data integrity
Qualifications:
-Post-secondary education in a quantitative discipline such as Computer Science, Engineering, Statistics, Machine Learning, Applied Math or Operations Research
-Strong understanding of data science and AI/ML concepts
-Proficiency in MS Office, SQL, Python, R or any other programming language
-Knowledge of big data systems – Hadoop, Teradata, Spark and/or Azure preferred
-Experience with enterprise supply chain solutions (JDA, SAP) is beneficial
-Creative problem solver with a passion for applying analytics to solve business problems
-Strong verbal and written communication skills
-Demonstrated ability to effectively manage multiple projects/priorities and meet deadlines, under pressure in a fast-paced environment
How You’ll Succeed:
At Loblaw, we seek great people to continually strengthen our culture. We believe great people model our values, are authentic, build trust and make connections.
If that sounds like you, and you are open-minded, responsive to change and up to the challenges provided in a fast-paced retail environment, apply today.
In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us.
Employment Type:
Full time
Type of Role:
Regular
Loblaw recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired.
Please Note: If you have Employee Self Service (ESS) on Workday, apply to this job via the Workday application.",3.1,"Joe Fresh
3.1",Brampton,"Toronto, Canada",201 to 500 employees,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Shops",Retail,Unknown / Non-Applicable,-1
Data Scientist,CA$78k-CA$100k (Glassdoor Est.),"Company Description

We’re a technology company working in the loyalty e-commerce industry. Our solutions enhance the management and monetization of loyalty currencies for more than 50 of the world’s largest loyalty brands, from frequent flyer miles and hotel points to retailer and credit card rewards. Supported by our unparalleled loyalty industry experience and technological expertise, we bring state-of-the-art loyalty commerce platforms and products to individuals and businesses in today’s loyalty marketplace.

Our casual, collaborative office is where our strong workplace culture begins. Our people are what make us great, so we empower them with the freedom to think big and the resources to make things happen. We communicate directly, lead by example, and make sure our team members know how much they are appreciated. Passion for life and work is important to us, and we want to see it in you, too!

Job Description

Points is looking for a Data Scientist to join our team for a permanent full-time position in our downtown Toronto office.

The Data Scientist POE (Points Offer Engine) is a key role in delivering & building out the advanced analytics/predictive modelling capability central to real-time personalized offers at scale.

Reporting to the Senior Lead, Data Scientist, this role supports the mandate of accelerated growth. You will be working in fast-paced environment, actively supporting fact based decision making & optimization of results. You will have exposure to all of Points LOBs (lines of business), advanced marketing & merchandising capabilities, customer database & channels and will actively support revenue generation & capability enhancements. Your key responsibilities include:

Powering revenue growth through the design and implementation of algorithms, machine learning & decision intelligence. This includes promo, price & assortment optimization, including dynamic personalized recommendations at the customer & product level across OTA (sort, price & margin algorithms that drive travel e-commerce sites), airline, hotel & loyalty sites.
Researching, designing & implementing models and algorithms utilized for promotion, pricing, product, media & revenue optimization.
Identify predictive attributes through neural nets & function engineering - and model the expected opportunity rates of return.
Analyzing & distilling loyalty insights from diverse data sets (member, segment & program level).
Enabling best in class offer generation (targeting & offer assignment) & optimization based on available data. Includes dynamic attributes.
Elevate the data science discipline by providing coaching & thought leadership to junior members of the technical team.

Qualifications

Masters or PhD in Physics/Math/Computer Science/Statistics or equivalent
Over 5 years’ experience applying Data Science including but not limited to econometric modeling, classification and prediction models, time series analysis, clustering, recommender systems & machine learning.
Deep understanding of ML algorithms (linear regression to neural networks), objective and cost functions, overfitting, imbalanced data
Proven experience with feature engineering, dimensionality reduction and clustering
Solid understanding of and experience building hybrid recommender systems
Strong Python, SQL and analytical skills
Advanced interpersonal and communication skills
Familiarity with data warehousing, data processing pipelines and data structures
Ability to communicate/present complex ideas/analysis in a concise, business-friendly manner
Natural curiosity to solve problems and find meaning in complex data sets & customer behaviour analysis.
Strong business acumen to apply recommendations in the proper commercial context

Additional Information

Building a great company culture is as vital to us as building a great business. Over the last 5 years Points has been the recipient of the following awards:

Best Workplaces (Medium) in Canada
Best Workplaces for Women. We were also named one of
Canada’s Top Small and Medium Employers
Greater Toronto’s Top Employers

Here are some of the perks that are included in our Points culture:

Central downtown location in the Financial District
Connected to the PATH network of shops/restaurants
We want to celebrate with you: all employees get an extra day off for their Birthdays!
Flexible work hours and casual dress every day
Marvelous Snack Cart Fridays: free refreshments and snacks!
Free coffee, tea, juice, pop, and snacks
Monthly subsidized lunch program
Green commuter and fitness subsidies
Secure bike storage with showers and towel service
Company-sponsored activities: bowling, movies, sports, paintball, and more!

Points is an equal opportunity employer and is committed to providing an accessible recruitment process. Upon request we will provide accommodation for applicants with disabilities.

All your information will be kept confidential.

No agencies please.",3.7,"Points International
3.7",Toronto,"Toronto, Canada",201 to 500 employees,2001,Company - Public,Internet,Information Technology,$100 to $500 million (CAD),-1
